"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PTGR2",-1.86296545682103,0.297004615384615,-5.03126956856433,4.41469266931352e-06,0.0446060547307438,3.68192430943773
"ESR1",-3.18893854818523,-0.590013846153846,-4.84129757422825,8.88131261904913e-06,0.0448683913514362,3.10059324174605
"NA",NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA
